Sentence_id,Type
UAERES16346,Responsibility
COGREQ15586,SoftSkill
UAEREQ12722,Requirement
COGSKL29155,Responsibility
PHERES12551,Responsibility
INDRES5908,Responsibility
UAESKL39669,Responsibility
HONSSK10706,Responsibility
COGRES1719,Requirement
HONREQ3632,Requirement
COGREQ33777,Skill
PHEREQ37766,Requirement
GERRES41081,Responsibility
PHERES38044,Responsibility
UAEREQ30316,Responsibility
INDEXP3141,Experience
PHEEXP5310,Experience
PHERES49495,Responsibility
GEREXP17543,Experience
COGREQ29517,Skill
UAERES49285,Responsibility
COGSKL11007,Requirement
PHESKL10519,Skill
UAEREQ30960,Responsibility
PHEREQ16154,Responsibility
COGEXP222,Experience
PHERES25540,Responsibility
COGSSK20865,SoftSkill
PHEEXP5277,Experience
HONEXP2544,Experience
HONSKL19279,Skill
HONREQ24260,Requirement
PHESKL33279,Skill
HONRES5901,Responsibility
COGEDU22810,Education
GERSSK41943,Responsibility
COGSSK2951,SoftSkill
INDREQ17460,Responsibility
GEREXP18181,Experience
GEREDU34214,Responsibility
GERRES3082,Responsibility
PHEEDU14881,Requirement
UAESSK15444,Responsibility
INDEDU15065,Education
HONSKL40295,Responsibility
GEREDU41462,Education
PHESSK13144,SoftSkill
INDSKL14011,Skill
COGREQ14675,Education
PHERES47336,Responsibility
INDRES11818,Requirement
PHERES2232,Responsibility
GERSKL18851,Responsibility
INDSSK13701,Requirement
PHEREQ4559,Responsibility
INDEXP5316,Experience
UAERES2792,Responsibility
HONSSK25650,SoftSkill
COGSSK10073,SoftSkill
INDREQ20707,Requirement
INDSSK21170,Skill
UAESSK12322,SoftSkill
HONEXP39354,Experience
PHERES41139,Responsibility
INDSSK43120,SoftSkill
UAERES11148,Responsibility
HONREQ19340,Responsibility
PHESSK885,SoftSkill
GEREDU41135,Education
PHESKL10152,Responsibility
INDEDU24267,Education
PHERES6399,Responsibility
PHEREQ3054,Responsibility
UAEREQ9385,Responsibility
COGSSK50309,SoftSkill
UAERES52859,Responsibility
PHESSK12695,SoftSkill
COGRES48054,Responsibility
GERSSK2495,SoftSkill
INDSKL15197,Education
HONEXP7349,Experience
INDREQ9626,Requirement
PHEREQ12757,Requirement
HONRES26329,Responsibility
INDRES30591,Responsibility
INDRES10436,Responsibility
HONRES5961,Responsibility
UAERES12909,Responsibility
HONRES8465,Responsibility
COGRES50993,Responsibility
INDEDU17606,Education
UAERES51300,Responsibility
HONEDU34949,Education
INDREQ2789,Requirement
PHESSK48143,Responsibility
INDREQ8361,Requirement
GERREQ32678,Requirement
UAESSK25944,SoftSkill
GEREXP1395,Requirement
COGSKL11481,Requirement
COGRES12678,Responsibility
COGRES28213,Responsibility
UAESSK11052,SoftSkill
PHESSK45264,Requirement
HONREQ39956,Responsibility
GERRES49902,Responsibility
COGRES2444,Responsibility
PHEEXP39000,Experience
COGRES217,Responsibility
INDREQ17088,SoftSkill
UAEEDU7044,Education
PHESSK22288,Requirement
GERRES7534,Responsibility
PHEREQ4763,Requirement
INDSSK13453,SoftSkill
INDEXP12290,Experience
PHERES9526,Responsibility
INDEDU23181,Education
GEREXP20612,Skill
GERRES18821,Responsibility
COGREQ52590,Requirement
HONRES40879,Responsibility
COGSKL5325,Requirement
INDRES27963,Responsibility
GEREDU7418,Education
INDSKL52324,Skill
UAESKL17134,Requirement
INDSKL28861,Requirement
HONRES2650,Responsibility
PHEREQ20755,Requirement
HONSSK7353,SoftSkill
GERSKL34496,Responsibility
